dataset,image_id,comparison_path,baseline_precision,ca_apsrg_precision,delta_precision,delta_recall,delta_f1_score
STARE,im0082,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\STARE\comparison\im0082_comparison.png,0.9072789603763056,0.9091127290183216,0.0018337686420160093,-0.0005103572500750886,-0.00026544503140268905
DRIVE,35,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\35_comparison.png,0.8786746792268962,0.8801041158288596,0.0014294366019633742,0.0,8.952983564847194e-05
STARE,im0001,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\STARE\comparison\im0001_comparison.png,0.5448557380090917,0.5456657065873827,0.0008099685782909649,0.0,0.0002454573277519967
CHASEDB1,Image_06L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_06L_comparison.png,0.7819656198748709,0.7826549533392103,0.0006893334643394144,0.0,0.0001340475042903022
CHASEDB1,Image_07R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_07R_comparison.png,0.7287288382953883,0.7293675138767163,0.0006386755813280187,0.0,9.517625717098133e-05
STARE,im0255,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\STARE\comparison\im0255_comparison.png,0.843595041322314,0.844212268542464,0.0006172272201500073,-0.0002638313589952701,-9.030980042712411e-05
DRIVE,28,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\DRIVE\comparison\28_comparison.png,0.7957671957671958,0.7963089025035928,0.0005417067363969741,0.0,9.180088742893888e-05
CHASEDB1,Image_10R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_10R_comparison.png,0.661516678465831,0.6619853308884814,0.000468652422650484,0.0,7.769431426973838e-05
CHASEDB1,Image_03L,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_03L_comparison.png,0.7908105705787837,0.7912163086605555,0.0004057380817718004,0.0,6.362164186329844e-05
CHASEDB1,Image_06R,E:\ca_apsrg_retinal_project\outputs\method_ablation\experiments_a04_selective_hybrid_bfs\CHASEDB1\comparison\Image_06R_comparison.png,0.7319721819331325,0.732353488372093,0.00038130643896050476,0.0,5.66282423229425e-05
